Month,ID,Annual_Income,Monthly_Inhand_Salary,Interest_Rate,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Credit_Utilization_Ratio,Amount_invested_monthly,Monthly_Balance
January,1,19114.12,1824.843333,3,3,7,809.98,26.82261962,80.41529544,312.4940887
February,1,19114.12,1824.843333,3,-1,7,809.98,31.94496006,118.2802216,284.6291625
March,1,19114.12,1824.843333,3,3,7,809.98,28.60935202,81.69952126,331.2098629
April,1,19114.12,1824.843333,3,5,4,809.98,31.37786187,199.4580744,223.4513097
May,1,19114.12,1824.843333,3,6,4,809.98,24.79734691,41.42015309,341.489231
June,1,19114.12,1824.843333,3,8,4,809.98,27.26225871,62.43017233,340.4792118
January,2,34847.84,3037.986667,6,3,8,605.03,24.46403064,104.2918252,470.6906269
February,2,34847.84,3037.986667,6,3,6,605.03,38.55084843,40.39123783,484.5912143
March,2,34847.84,3037.986667,6,3,4,605.03,33.22495079,58.5159757,466.4664764
April,2,34847.84,3037.986667,6,7,1,605.03,39.18265566,99.30622796,465.6762241
May,2,34847.84,3037.986667,6,3,-1,605.03,34.97789475,130.1154202,444.8670319
June,2,34847.84,3037.986667,6,3,3,605.03,33.3810102,43.47719014,481.5052619
January,3,143162.64,12187.22,8,3,1,1303.01,28.61673482,168.4137027,1043.315978
February,3,143162.64,12187.22,8,3,0,1303.01,41.70257342,232.8603838,998.8692968
March,3,143162.64,12187.22,8,3,4,1303.01,26.51981539,10000,715.7413674
April,3,143162.64,12187.22,8,3,4,1303.01,39.50164811,825.2162699,426.5134106
May,3,143162.64,12187.22,8,5,8,1303.01,31.37614957,430.9475279,810.7821527
June,3,143162.64,12187.22,8,13,6,1303.01,39.78399346,257.8080994,963.9215811
January,4,30689.89,2612.490833,4,8,7,632.46,26.54422872,81.22885871,433.604773
February,4,30689.89,2612.490833,4,8,5,632.46,35.27998178,124.8818199,409.9518118
March,4,30689.89,2612.490833,4,10,5,632.46,32.30116343,83.4065088,411.4271229
April,4,30689.89,2612.490833,4,8,6,632.46,38.13234819,272.3340374,262.4995943
May,4,30689.89,2612.490833,4,8,6,632.46,41.15431655,10000,359.3749155
June,4,30689.89,2612.490833,4,8,6,632.46,27.44542179,84.95284817,419.8807835
January,5,35547.71,2853.309167,5,0,6,943.86,39.79776423,276.7253943,288.6055223
February,5,35547.71,2853.309167,5,5,3,943.86,27.02036025,74.44364105,460.8872756
March,5,35547.71,2853.309167,5,3,9,943.86,23.46230304,173.138651,392.1922657
April,5,35547.71,2853.309167,5,7,6,943.86,28.92495378,96.78548509,438.5454316
May,5,35547.71,2853.309167,5,5,6,943.86,41.77618715,62.72327834,482.6076383
June,5,35547.71,2853.309167,5,5,6,943.86,29.21755633,37.64363789,497.6872788
January,6,73928.46,5988.705,8,5,0,548.2,39.96268501,98.67440994,740.1960901
February,6,73928.46,5988.705,8,4,9,548.2,42.7698644,172.9392145,705.9312855
March,6,73928.46,5988.705,8,5,12,548.2,40.71218653,150.0597343,698.8107657
April,6,73928.46,5988.705,8,9,12,548.2,30.20165771,618.2023913,270.6681087
May,6,73928.46,5988.705,8,5,12,548.2,26.33331043,177.9518357,690.9186643
June,6,73928.46,5988.705,8,1,15,548.2,35.27543652,235.790325,633.080175
January,7,131313.4,11242.78333,8,9,17,352.16,32.200509,378.1712535,858.4624744
February,7,131313.4,11242.78333,8,5,15,352.16,31.98371001,698.8732707,547.7604572
March,7,131313.4,10469.20776,8,10,15,352.16,31.8031345,188.0643211,1038.569407
April,7,131313.4,10469.20776,8,1,15,352.16,42.6457849,337.4349563,899.1987716
May,7,131313.4,10469.20776,8,12,10,352.16,40.90251715,263.3789089,963.254819
June,7,131313.4,10469.20776,8,8,7,352.16,41.98016961,86.56638801,1140.06734
January,8,34081.38,2611.115,15,8,7,1704.18,24.44806275,162.4410092,298.1921581
February,8,34081.38,2611.115,15,8,7,1704.18,35.17116002,38.43698276,392.1961846
March,8,34081.38,2611.115,15,11,7,1704.18,35.11155247,199.7207655,260.9124018
April,8,34081.38,2611.115,15,7,7,1704.18,29.76215931,220.5521919,260.0809754
May,8,34081.38,2611.115,15,8,4,1704.18,30.20621422,0,397.2283547
June,8,34081.38,2611.115,15,8,7,1704.18,31.17087232,0,410.6743661
January,9,114838.41,9843.8675,7,0,3,1377.74,33.66455429,215.1935159,802.3004421
February,9,114838.41,9843.8675,7,-1,2,1377.74,27.62632549,212.2356022,785.2583559
March,9,114838.41,9843.8675,7,0,3,1377.74,35.1415673,470.3857957,547.1081624
April,9,114838.41,9843.8675,7,0,2,1377.74,30.45903184,225.0820495,772.4119086
May,9,114838.41,9843.8675,7,0,4,1377.74,29.81918663,649.8093642,367.6845939
June,9,114838.41,9843.8675,7,0,4,1377.74,26.11421387,546.3805705,491.1133876
January,10,31370.8,2825.233333,12,0,2,421.43,29.51935256,154.3527811,341.5544232
February,10,31370.8,2825.233333,12,0,2,421.43,28.22048096,298.7444693,227.1627349
March,10,31370.8,2825.233333,12,30,11,421.43,31.04641791,140.820696,375.0865083
April,10,31370.8,2825.233333,12,30,14,421.43,30.1680304,233.6055264,292.3016778
May,10,31370.8,2825.233333,12,31,14,421.43,25.18923173,184.7005716,341.2066326
June,10,31370.8,2825.233333,12,34,14,421.43,25.50246855,137.7174249,378.1897794
January,11,33751.27,2948.605833,20,27,14,1328.93,37.08907565,117.3066971,362.5457119
February,11,33751.27,2948.605833,20,30,14,1328.93,30.90808063,70.13107792,399.7213311
March,11,33751.27,2948.605833,20,30,11,1328.93,38.03072168,270.1825822,229.6698268
April,11,33751.27,2948.605833,20,30,14,1328.93,23.40441278,25.19256191,444.6598471
May,11,33751.27,2948.605833,20,13,11,1328.93,29.07375818,243.3296848,276.5227243
June,11,33751.27,2948.605833,20,14,8,1328.93,32.78263673,72.86008181,406.9923272
January,12,88640.24,7266.686667,1,11,11,950.36,28.21061721,98.93176402,732.5635317
February,12,88640.24,7266.686667,1,11,14,950.36,41.03616828,157.1747883,674.3205074
March,12,88640.24,7266.686667,1,11,11,950.36,34.67019438,298.1889115,543.3063842
April,12,88640.24,7266.686667,1,13,14,950.36,31.82853557,0,86.63611983
May,12,88640.24,7266.686667,1,11,0,950.36,34.70283693,279.6186221,561.8766736
June,12,88640.24,7266.686667,1,11,11,950.36,38.32363895,686.1262166,195.3690791
January,13,54392.16,4766.68,14,4,0,179.22,25.64924607,243.7354374,378.5404802
February,13,54392.16,4766.68,14,2,0,179.22,29.40877528,142.7518641,459.5240535
March,13,54392.16,4766.68,14,-2,0,179.22,31.25892847,33.34956859,558.926349
April,13,54392.16,4766.68,14,1,0,179.22,27.19258741,494.8422277,147.4336899
May,13,54392.16,4766.68,14,1,0,179.22,34.59532446,233.1184454,409.1574722
June,13,54392.16,4766.68,14,1,0,179.22,23.1950254,635.1465605,7.129357074
January,14,8701.545,519.12875,32,-1,2,2602.69,24.52316385,13.06620992,272.2984679
February,14,8701.545,519.12875,32,-2,2,2602.69,39.9025176,34.71516394,250.6495139
March,14,8701.545,519.12875,32,16,20,2602.69,36.47591386,45.65097554,239.7137023
April,14,8701.545,519.12875,32,16,20,2602.69,32.09749228,20.39018388,284.974494
May,14,8701.545,519.12875,32,16,20,2602.69,37.16937449,50.4869522,254.8777256
June,14,8701.545,519.12875,32,17,22,2602.69,28.57003141,52.93161341,242.4330644
