Month,ID,Delay-from-due-date,Num-of-Delayed-Payment,Outstanding-Debt,Credit-Utilization-Ratio,Annual-Income,Debt-to-Income Ratio,Amount-invested-monthly,Monthly-Balance,Default
January,1,3,7,809.98,26.82261962,19114.12,4%,80.41529544,312.4940887,1
February,1,-1,7,809.98,31.94496006,19114.12,4%,118.2802216,284.6291625,1
March,1,3,7,809.98,28.60935202,19114.12,4%,81.69952126,331.2098629,1
April,1,5,4,809.98,31.37786187,19114.12,4%,199.4580744,223.4513097,0
May,1,6,4,809.98,24.79734691,19114.12,4%,41.42015309,341.489231,0
June,1,8,4,809.98,27.26225871,19114.12,4%,62.43017233,340.4792118,0
January,2,3,8,605.03,24.46403064,34847.84,2%,104.2918252,244.5653167,1
February,2,3,6,605.03,38.55084843,34847.84,2%,40.39123783,358.1241676,1
March,2,3,4,605.03,33.22495079,34847.84,2%,58.5159757,470.6906269,0
April,2,7,1,605.03,39.18265566,34847.84,2%,99.30622796,484.5912143,0
May,2,3,-1,605.03,34.97789475,34847.84,2%,130.1154202,466.4664764,0
June,2,3,3,605.03,33.3810102,34847.84,2%,43.47719014,465.6762241,0
January,3,3,1,1303.01,28.61673482,143162.64,1%,168.4137027,444.8670319,0
February,3,3,0,1303.01,41.70257342,143162.64,1%,232.8603838,481.5052619,0
March,3,3,4,1303.01,26.51981539,143162.64,1%,10000,464.8806779,0
April,3,3,4,1303.01,39.50164811,143162.64,1%,825.2162699,356.0781086,0
May,3,5,8,1303.01,31.37614957,143162.64,1%,430.9475279,1043.315978,1
June,3,13,6,1303.01,39.78399346,143162.64,1%,257.8080994,998.8692968,1
January,4,8,7,632.46,26.54422872,30689.89,2%,81.22885871,715.7413674,1
February,4,8,5,632.46,35.27998178,30689.89,2%,124.8818199,426.5134106,0
March,4,10,5,632.46,32.30116343,30689.89,2%,83.4065088,810.7821527,0
April,4,8,6,632.46,38.13234819,30689.89,2%,272.3340374,963.9215811,1
May,4,8,6,632.46,41.15431655,30689.89,2%,10000,968.5555174,1
